ID,Prob.BRDqPCR,Prob.HealthyqPCR,Prob.BRDITS,Prob.HealthyITS,predITS.2,predQPCR,visual,predicted
Dairy106,0.714285714,0.285714286,0.470588235,0.529411765,Healthy,BRD,BRD,V + qPCR (BRD)
Dairy129,0.971428571,0.028571429,0.176470588,0.823529412,Healthy,BRD,BRD,V + qPCR (BRD)
Dairy133,0.628571429,0.371428571,0.470588235,0.529411765,Healthy,BRD,BRD,V + qPCR (BRD)
Dairy16,0.857142857,0.142857143,0.470588235,0.529411765,Healthy,BRD,BRD,V + qPCR (BRD)
Dairy48,0.771428571,0.228571429,0.411764706,0.588235294,Healthy,BRD,BRD,V + qPCR (BRD)
Dairy50,0.885714286,0.114285714,0.294117647,0.705882353,Healthy,BRD,BRD,V + qPCR (BRD)
Dairy53,0.828571429,0.171428571,0.235294118,0.764705882,Healthy,BRD,BRD,V + qPCR (BRD)
Dairy7,0.742857143,0.257142857,0.470588235,0.529411765,Healthy,BRD,BRD,V + qPCR (BRD)
Dairy11,0.542857143,0.457142857,0.529411765,0.470588235,BRD,BRD,BRD,V + qPCR (BRD)
Dairy114,0.6,0.4,0.647058824,0.352941176,BRD,BRD,BRD,V + qPCR (BRD)
Dairy13,0.628571429,0.371428571,0.705882353,0.294117647,BRD,BRD,BRD,V + qPCR (BRD)
Dairy131,0.6,0.4,0.529411765,0.470588235,BRD,BRD,BRD,V + qPCR (BRD)
Dairy3,0.942857143,0.057142857,0.705882353,0.294117647,BRD,BRD,BRD,V + qPCR (BRD)
Dairy65,0.542857143,0.457142857,0.529411765,0.470588235,BRD,BRD,BRD,V + qPCR (BRD)
Dairy85,0.571428571,0.428571429,0.529411765,0.470588235,BRD,BRD,BRD,V + qPCR (BRD)
Dairy120,0.085714286,0.914285714,0.352941176,0.647058824,Healthy,Healthy,Healthy,V + qPCR (Healthy)
Dairy121,0.428571429,0.571428571,0.470588235,0.529411765,Healthy,Healthy,Healthy,V + qPCR (Healthy)
Dairy17,0.228571429,0.771428571,0.411764706,0.588235294,Healthy,Healthy,Healthy,V + qPCR (Healthy)
Dairy19,0.114285714,0.885714286,0.352941176,0.647058824,Healthy,Healthy,Healthy,V + qPCR (Healthy)
Dairy21,0.142857143,0.857142857,0.411764706,0.588235294,Healthy,Healthy,Healthy,V + qPCR (Healthy)
Dairy26,0.428571429,0.571428571,0.352941176,0.647058824,Healthy,Healthy,Healthy,V + qPCR (Healthy)
Dairy5,0.457142857,0.542857143,0.294117647,0.705882353,Healthy,Healthy,Healthy,V + qPCR (Healthy)
Dairy75,0.314285714,0.685714286,0.411764706,0.588235294,Healthy,Healthy,Healthy,V + qPCR (Healthy)
Dairy8,0.085714286,0.914285714,0.411764706,0.588235294,Healthy,Healthy,Healthy,V + qPCR (Healthy)
Dairy81,0.114285714,0.885714286,0.411764706,0.588235294,Healthy,Healthy,Healthy,V + qPCR (Healthy)
Dairy99,0,1,0.352941176,0.647058824,Healthy,Healthy,Healthy,V + qPCR (Healthy)
Dairy108,0.028571429,0.971428571,0.529411765,0.470588235,BRD,Healthy,Healthy,V + qPCR (Healthy)
Dairy22,0.114285714,0.885714286,0.529411765,0.470588235,BRD,Healthy,Healthy,V + qPCR (Healthy)
Dairy24,0.057142857,0.942857143,0.705882353,0.294117647,BRD,Healthy,Healthy,V + qPCR (Healthy)
Dairy31,0.285714286,0.714285714,0.588235294,0.411764706,BRD,Healthy,Healthy,V + qPCR (Healthy)
Dairy4,0.228571429,0.771428571,0.647058824,0.352941176,BRD,Healthy,Healthy,V + qPCR (Healthy)
Dairy43,0.085714286,0.914285714,0.705882353,0.294117647,BRD,Healthy,Healthy,V + qPCR (Healthy)
Dairy83,0.028571429,0.971428571,0.529411765,0.470588235,BRD,Healthy,Healthy,V + qPCR (Healthy)
Dairy9,0.342857143,0.657142857,0.588235294,0.411764706,BRD,Healthy,Healthy,V + qPCR (Healthy)