ID,Prob.BRDqPCR,Prob.HealthyqPCR,Prob.BRDITS,Prob.HealthyITS,predITS.2,predQPCR,visual
Dairy120,0.085714286,0.914285714,0.352941176,0.647058824,Healthy,Healthy,Healthy
Dairy121,0.428571429,0.571428571,0.470588235,0.529411765,Healthy,Healthy,Healthy
Dairy17,0.228571429,0.771428571,0.411764706,0.588235294,Healthy,Healthy,Healthy
Dairy19,0.114285714,0.885714286,0.352941176,0.647058824,Healthy,Healthy,Healthy
Dairy21,0.142857143,0.857142857,0.411764706,0.588235294,Healthy,Healthy,Healthy
Dairy26,0.428571429,0.571428571,0.352941176,0.647058824,Healthy,Healthy,Healthy
Dairy5,0.457142857,0.542857143,0.294117647,0.705882353,Healthy,Healthy,Healthy
Dairy75,0.314285714,0.685714286,0.411764706,0.588235294,Healthy,Healthy,Healthy
Dairy8,0.085714286,0.914285714,0.411764706,0.588235294,Healthy,Healthy,Healthy
Dairy81,0.114285714,0.885714286,0.411764706,0.588235294,Healthy,Healthy,Healthy
Dairy99,0,1,0.352941176,0.647058824,Healthy,Healthy,Healthy
Dairy130,0.285714286,0.714285714,0.352941176,0.647058824,Healthy,Healthy,BRD
Dairy49,0.2,0.8,0.411764706,0.588235294,Healthy,Healthy,BRD
Dairy72,0.228571429,0.771428571,0.352941176,0.647058824,Healthy,Healthy,BRD
Dairy74,0.428571429,0.571428571,0.470588235,0.529411765,Healthy,Healthy,BRD
Dairy105,0.628571429,0.371428571,0.352941176,0.647058824,Healthy,BRD,Healthy
Dairy112,0.542857143,0.457142857,0.058823529,0.941176471,Healthy,BRD,Healthy
Dairy45,0.571428571,0.428571429,0.352941176,0.647058824,Healthy,BRD,Healthy
Dairy57,0.6,0.4,0.352941176,0.647058824,Healthy,BRD,Healthy
Dairy106,0.714285714,0.285714286,0.470588235,0.529411765,Healthy,BRD,BRD
Dairy129,0.971428571,0.028571429,0.176470588,0.823529412,Healthy,BRD,BRD
Dairy133,0.628571429,0.371428571,0.470588235,0.529411765,Healthy,BRD,BRD
Dairy16,0.857142857,0.142857143,0.470588235,0.529411765,Healthy,BRD,BRD
Dairy48,0.771428571,0.228571429,0.411764706,0.588235294,Healthy,BRD,BRD
Dairy50,0.885714286,0.114285714,0.294117647,0.705882353,Healthy,BRD,BRD
Dairy53,0.828571429,0.171428571,0.235294118,0.764705882,Healthy,BRD,BRD
Dairy7,0.742857143,0.257142857,0.470588235,0.529411765,Healthy,BRD,BRD
Dairy108,0.028571429,0.971428571,0.529411765,0.470588235,BRD,Healthy,Healthy
Dairy22,0.114285714,0.885714286,0.529411765,0.470588235,BRD,Healthy,Healthy
Dairy24,0.057142857,0.942857143,0.705882353,0.294117647,BRD,Healthy,Healthy
Dairy31,0.285714286,0.714285714,0.588235294,0.411764706,BRD,Healthy,Healthy
Dairy4,0.228571429,0.771428571,0.647058824,0.352941176,BRD,Healthy,Healthy
Dairy43,0.085714286,0.914285714,0.705882353,0.294117647,BRD,Healthy,Healthy
Dairy83,0.028571429,0.971428571,0.529411765,0.470588235,BRD,Healthy,Healthy
Dairy9,0.342857143,0.657142857,0.588235294,0.411764706,BRD,Healthy,Healthy
Dairy107,0.2,0.8,0.588235294,0.411764706,BRD,Healthy,BRD
Dairy27,0.428571429,0.571428571,0.529411765,0.470588235,BRD,Healthy,BRD
Dairy28,0.142857143,0.857142857,0.823529412,0.176470588,BRD,Healthy,BRD
Dairy29,0.228571429,0.771428571,0.529411765,0.470588235,BRD,Healthy,BRD
Dairy93,0.142857143,0.857142857,0.529411765,0.470588235,BRD,Healthy,BRD
Dairy34,0.628571429,0.371428571,0.647058824,0.352941176,BRD,BRD,Healthy
Dairy70,0.571428571,0.428571429,0.764705882,0.235294118,BRD,BRD,Healthy
Dairy82,0.885714286,0.114285714,0.588235294,0.411764706,BRD,BRD,Healthy
Dairy84,0.8,0.2,0.764705882,0.235294118,BRD,BRD,Healthy
Dairy90,0.771428571,0.228571429,0.529411765,0.470588235,BRD,BRD,Healthy
Dairy11,0.542857143,0.457142857,0.529411765,0.470588235,BRD,BRD,BRD
Dairy114,0.6,0.4,0.647058824,0.352941176,BRD,BRD,BRD
Dairy13,0.628571429,0.371428571,0.705882353,0.294117647,BRD,BRD,BRD
Dairy131,0.6,0.4,0.529411765,0.470588235,BRD,BRD,BRD
Dairy3,0.942857143,0.057142857,0.705882353,0.294117647,BRD,BRD,BRD
Dairy65,0.542857143,0.457142857,0.529411765,0.470588235,BRD,BRD,BRD
Dairy85,0.571428571,0.428571429,0.529411765,0.470588235,BRD,BRD,BRD