ID,BRD,Mbovis_copies,Pm_copies,Hs_copies,Mh_copies
Dairy3,BRD,6105907.46,251245.6,241480.1283,0
Dairy7,BRD,0,92502.45,35.55562291,160929.14
Dairy11,BRD,0,983647.84,35.55562291,376294.89
Dairy12,BRD,6678.6,1993959.47,253.5113993,62871.23
Dairy13,BRD,6366.21,815854.45,34023.38973,11002.97
Dairy14,BRD,299367.64,792174.41,17784.88745,7448.94
Dairy15,BRD,3652.82,87524.75,981.1964992,1431.95
Dairy16,BRD,3941679.19,602590.28,366619.4297,0
Dairy18,BRD,0,52409.96,34163.49864,231007.93
Dairy27,BRD,0,177464.35,70.03115376,11750.13
Dairy28,BRD,3623.36,474429.89,5506.496564,102812.58
Dairy29,BRD,6994.08,292161.75,6909.113827,272368.13
Dairy35,BRD,0,3123.21,0,982367.78
Dairy38,BRD,3188843.05,63695.98,104263.8384,59631.72
Dairy42,BRD,93188.48,236501.93,10.62616117,258883.5
Dairy46,BRD,97864.55,380328.76,44.46507596,990212.77
Dairy48,BRD,781162.31,1273257.07,117906.2495,35612.49
Dairy49,BRD,24514.02,1147866.49,22057.87496,89772.79
Dairy50,BRD,888308.93,885992.77,56911.28772,14286.86
Dairy53,BRD,2990097.94,1776806.05,643002.4057,607122.45
Dairy54,BRD,5324624.83,1214918.84,227191.9215,25545.12
Dairy58,BRD,484723.86,10741058.82,34.87235204,0
Dairy60,BRD,66752.19,19996.54,7832.640658,12856.17
Dairy65,BRD,0,1988.9,153.2786202,236277.83
Dairy67,BRD,1051721.4,74442.89,80733.00715,11910.04
Dairy68,BRD,1593.56,100551.57,919.3385994,138342.99
Dairy69,BRD,0,198768.65,306.4122078,0
Dairy72,BRD,2191376.84,4855747.57,3786.030412,6225.35
Dairy74,BRD,120327.85,309396.41,25547.57246,2317.72
Dairy77,BRD,1072691.12,3199784.63,125974.5591,32183.41
Dairy78,BRD,213266.99,151424.54,67129.76924,10000.42
Dairy79,BRD,0,964127.51,41559.6542,1649.16
Dairy85,BRD,127423.12,1814340.66,247.4644939,302936.23
Dairy87,BRD,15100.97,4378303.1,189980.2346,83742.01
Dairy88,BRD,0,121768.52,0,0
Dairy92,BRD,375215.66,5386.99,89081.5945,0
Dairy93,BRD,0,284969.92,3000.431553,71410.03
Dairy94,BRD,0,68743.71,71.92418897,0
Dairy95,BRD,6469690.98,54684.94,245859.4147,1400380.05
Dairy98,BRD,4794374.55,9095662.37,770349.9322,3120351.71
Dairy100,BRD,0,522555.88,324.1050163,373529.92
Dairy101,BRD,112930.58,243509.51,90256.68193,0
Dairy103,BRD,37827.53,463125.53,45264.33122,806088.07
Dairy106,BRD,1055122.17,360694.84,29159.35868,244620.8
Dairy107,BRD,38122.42,745112.84,28050.03288,59143.09
Dairy110,BRD,0,713149.39,35663.96297,0
Dairy111,BRD,1709.37,265841.05,26.19601669,10638.78
Dairy113,BRD,1656073.14,8437.3,85450.1718,11232.11
Dairy114,BRD,381594.35,1395735.33,19538.47993,455054.29
Dairy116,BRD,2921358.17,676947.27,273848.311,12282.34
Dairy123,BRD,0,3886219.01,900.8047276,95611.07
Dairy125,BRD,567058.28,2166153.21,9744.783291,289012.63
Dairy127,BRD,15433.43,153948.25,1819.741364,28053.13
Dairy129,BRD,402762.87,215157.25,117046.2335,23456.38
Dairy130,BRD,56555.5,66724.09,5169.175412,0
Dairy131,BRD,0,66132.71,262.8535731,0
Dairy132,BRD,80488.96,149695.99,43384.04186,9236.69
Dairy133,BRD,74300.74,148028.33,20064.19293,50034.94
Dairy1,Healthy,1106.31,310604.68,3774.041536,0
Dairy2,Healthy,0,113888.46,629.168047,0
Dairy4,Healthy,28549.75,1591172.1,16129.96924,12929.86
Dairy5,Healthy,0,7101.22,61.21909811,100951.23
Dairy6,Healthy,0,725409.23,494.8870298,4834.68
Dairy8,Healthy,0,79981.69,1771.738898,0
Dairy9,Healthy,0,46653.03,27.09518531,0
Dairy10,Healthy,0,816468.11,4350.310753,2961.57
Dairy17,Healthy,1315.87,750004,29685.66884,550.77
Dairy19,Healthy,101241.91,1360039.03,5445.568641,2039.36
Dairy20,Healthy,0,77228.39,752.0604833,1591.23
Dairy21,Healthy,0,0,54.11588436,0
Dairy22,Healthy,0,3333.53,90.32418367,2073.2
Dairy23,Healthy,0,5561.9,58.75975624,6651.76
Dairy24,Healthy,0,1392.93,48.65615974,0
Dairy25,Healthy,0,245682.52,735.4653099,19066.53
Dairy26,Healthy,5732.59,214919.31,406.2762472,6632.96
Dairy30,Healthy,0,0,35.61463144,0
Dairy31,Healthy,0,2896543.39,765.1216949,32348.31
Dairy32,Healthy,7658.24,263858.61,101.8049856,503.75
Dairy33,Healthy,0,28939.4,30.68387388,0
Dairy34,Healthy,4930352.03,2879987.46,33963.67226,0
Dairy36,Healthy,87150.88,1885180.05,168.6777871,36515.47
Dairy37,Healthy,799194.13,395366.12,8569.791222,948253.98
Dairy39,Healthy,0,515950.74,35.83505032,17992.23
Dairy40,Healthy,36230.61,407244.68,23.11276429,0
Dairy41,Healthy,9310.9,529217.08,2092.408861,129305.26
Dairy43,Healthy,577954.49,1625148.34,564.1490686,0
Dairy44,Healthy,21495.23,289700.05,83.96954634,7497.51
Dairy45,Healthy,0,0,3.911640896,0
Dairy47,Healthy,0,617587.23,1490.769297,0
Dairy51,Healthy,0,1345000.67,41793.42112,18302.54
Dairy52,Healthy,0,185780.8,615.4440124,0
Dairy55,Healthy,6516.94,2262348.01,82397.02834,3869.45
Dairy56,Healthy,0,2594.94,9896.246302,0
Dairy57,Healthy,0,557076.34,0,0
Dairy59,Healthy,16676.97,768791.96,2372.233468,34902.26
Dairy61,Healthy,8996.85,1104030.7,9277.647469,328076.65
Dairy62,Healthy,942491.32,2970771.4,971.6884286,1360.88
Dairy63,Healthy,0,2843.33,634.8790186,0
Dairy64,Healthy,0,684962.89,39.04964622,7870.03
Dairy66,Healthy,248588.19,1118586.26,9379.654702,29664.32
Dairy70,Healthy,398414.27,1320834.78,119214.951,1202.99
Dairy71,Healthy,0,150152.99,7857.302516,1909.35
Dairy73,Healthy,2101.02,124645.62,993.8096687,4042.05
Dairy75,Healthy,3600.62,809086.21,1192.318192,585098.6
Dairy76,Healthy,0,105561.86,961.0040148,0
Dairy80,Healthy,30398.87,1305737.8,113705.6695,132025.09
Dairy81,Healthy,1476.37,2130416.96,6455.773044,1129.52
Dairy82,Healthy,1596581.26,257675.94,45185.49254,0
Dairy83,Healthy,1436.48,629372.48,5767.820795,71838.68
Dairy84,Healthy,5126487.52,652558.35,173707.6475,2501.82
Dairy86,Healthy,0,9171865.19,226956.6099,11241.7
Dairy89,Healthy,0,0,212.3060841,0
Dairy90,Healthy,2897.65,100383.67,43861.95635,1086.58
Dairy91,Healthy,0,270527.75,13798.67931,259762.5
Dairy96,Healthy,60620.1,1592073.67,7691.327884,6575646.15
Dairy97,Healthy,56135.78,21244.72,6967.423241,3514604.57
Dairy99,Healthy,0,152569.28,5369.890768,0
Dairy102,Healthy,0,15340.12,1639.604026,601832.11
Dairy104,Healthy,43918.44,2961672.88,673.2898802,0
Dairy105,Healthy,0,64349.58,149720.7703,0
Dairy108,Healthy,0,48940,2510.948369,0
Dairy109,Healthy,0,18606.61,4086.442468,0
Dairy112,Healthy,25732.07,97683.52,62.22052007,0
Dairy115,Healthy,1281.56,927044.95,1414.893046,315690.25
Dairy117,Healthy,5703630.26,525121.8,3626.978844,0
Dairy118,Healthy,38721.23,17723.57,4321.737,31103.97
Dairy119,Healthy,104715.7,1424037.36,27142.92734,5842.32
Dairy120,Healthy,0,500311.31,57.4605637,19990.83
Dairy121,Healthy,2452.8,103063.24,9071.520694,131349.38
Dairy122,Healthy,0,50287.75,1093.06574,0
Dairy124,Healthy,18682.54,405669.4,29752.57052,78951.89
Dairy126,Healthy,0,5906938.45,198762.6653,275.92
Dairy128,Healthy,404403.34,2369156.12,1405.85364,0